Oke_Ado,,,,,Oke_Ado,,,,,,,,,,,,,,,,,
6,2012,,,,6,,Oke_Ado,,,,,,,,,Variable,N,Mean,Median,Standard Deviation,Minimum,Maximum
5.7,2012,,,,5.7,,,,,,,,,,,Total sample,60,5.48,5.5,0.2844,4.3,6
5.8,2012,,,,5.8,,Mean,5.452083333,5.241666667,5.308333333,5.6,5.65,5.566666667,5.6,,Model sample,48,5.45,5.5,0.3101,4.3,6
5.8,2012,,,,5.8,,Standard Error,0.044759957,0.123985784,0.052883997,0.036927447,0.033709993,0.030977346,0.036927447,,Validation sample,12,5.57,5.5,0.1073,5.4,5.7
5.6,2012,,,,5.6,,Median,5.5,5.3,5.3,5.6,5.7,5.5,5.6,,2012,12,5.24,5.3,0.4295,4.3,5.8
5.4,2012,,,,5.4,,Mode,5.5,5.3,5.3,5.7,5.7,5.5,5.7,,2013,12,5.31,5.3,0.1832,5,5.7
5.3,2012,,,,5.3,,Standard Deviation,0.310106079,0.429499356,0.183195541,0.12792043,0.116774842,0.107308674,0.12792043,,2014,12,5.65,5.7,0.1168,5.5,5.8
5.6,2012,,,,5.6,,Sample Variance,0.09616578,0.184469697,0.033560606,0.016363636,0.013636364,0.011515152,0.016363636,,2015,12,5.57,5.5,0.1073,5.4,5.7
5.4,2012,,,,5.4,,Kurtosis,3.14244344,0.754323879,0.978116576,-1.561728395,-1.427555556,-1.471745152,-1.561728395,,2016,12,5.6,5.6,0.1279,5.4,5.8
5.6,2012,,,,5.6,,Skewness,-1.338579553,-0.96315759,0.705557999,-1.23E-14,-0.411047443,0.274662645,-1.23E-14,,,,,,,,
5.6,2012,,,,5.6,,Range,1.7,1.5,0.7,0.4,0.3,0.3,0.4,,,,,,,,
5.5,2012,,,,5.5,,Minimum,4.3,4.3,5,5.4,5.5,5.4,5.4,,,,,,,,
5.7,2013,,,,5.7,,Maximum,6,5.8,5.7,5.8,5.8,5.7,5.8,,,,,,,,
5.3,2013,,,,5.3,,Sum,261.7,62.9,63.7,67.2,67.8,66.8,67.2,,,,,,,,
5.5,2015,,,,5.5,,,,,,,,,,,,,,,,,
5.7,2015,,,,5.7,,,,,,,,,,,,,,,,,
5.4,2016,,,,,,,,,,,,,,,,,,,,,
5.5,2016,,,,,,,,,,,,,,,,,,,,,
5.5,2016,,,,,,,,,,,,,,,,,,,,,
5.5,2016,,,,,,,,,,,,,,,,,,,,,
5.7,2016,,,,,,,,,,,,,,,,,,,,,
5.7,2016,,,,,,,,,,,,,,,,,,,,,
5.5,2016,,,,,,,,,,,,,,,,,,,,,
5.7,2016,,,,,,,,,,,,,,,,,,,,,
5.5,2016,,,,,,,,,,,,,,,,,,,,,
5.6,2016,,,,,,,,,,,,,,,,,,,,,
5.5,2016,,,,,,,,,,,,,,,,,,,,,
5.7,2016,,,,,,,,,,,,,,,,,,,,,
