date,Takie,Oke_Ado,Ilorin_road,months
1/1/2012,6,6,1.7,1
1/2/2012,5.8,5.7,1.6,2
1/3/2012,5.9,5.8,1.5,3
1/4/2012,6,5.8,1.6,4
1/5/2012,5.8,5.6,1.5,5
1/6/2012,5.6,5.4,1.5,6
1/7/2012,5.6,5.3,1.6,7
1/8/2012,5.7,5.6,1.5,8
1/9/2012,5.6,5.4,1.7,9
1/10/2012,5.7,5.6,1.6,10
1/11/2012,5.6,5.6,1.6,11
1/12/2012,5,5.5,1.7,12
1/1/2013,5,5.7,1.8,13
1/2/2013,4.8,5.3,2.3,14
1/3/2013,5.3,5.5,2,15
1/4/2013,5.3,5,1.7,16
1/5/2013,5,5,2,17
1/6/2013,4.3,4.3,2,18
1/7/2013,4.7,4.7,2,19
1/8/2013,4.8,5.8,2,20
1/9/2013,5.3,5.3,2,21
1/10/2013,5.5,5.5,2.3,22
1/11/2013,5.5,5.5,2,23
1/12/2013,5.3,5.3,2.3,24
1/1/2014,6.3,5.3,1,25
1/2/2014,6.5,5.2,1.7,26
1/3/2014,6.2,5.3,2.2,27
1/4/2014,6.3,5.2,2,28
1/5/2014,6.3,5.2,3,29
1/6/2014,6,5,2.7,30
1/7/2014,6.5,5.5,2.8,31
1/8/2014,5.7,5.3,2.8,32
1/9/2014,6,5.2,2.8,33
1/10/2014,6,5.7,3,34
1/11/2014,6,5.5,2.7,35
1/12/2014,6.5,5.3,2.3,36
1/1/2015,6.5,5.5,3.2,37
1/2/2015,6.3,5.5,3,38
1/3/2015,6.3,5.7,3,39
1/4/2015,6,5.8,3,40
1/5/2015,6,5.7,2.7,41
1/6/2015,6.3,5.7,2.7,42
1/7/2015,6.3,5.7,2.3,43
1/8/2015,7,5.8,1.3,44
1/9/2015,6,5.7,1.5,45
1/10/2015,6.2,5.5,1.6,46
1/11/2015,6.7,5.5,1.6,47
1/12/2015,6.7,5.7,1.6,48
1/1/2016,6.7,5.4,3.2,49
1/2/2016,6.7,5.5,2.8,50
1/3/2016,6.7,5.5,3.3,51
1/4/2016,6.3,5.5,3,52
1/5/2016,6.7,5.7,2.8,53
1/6/2016,6,5.7,2.5,54
1/7/2016,6.5,5.5,2.6,55
1/8/2016,6.8,5.7,2.8,56
1/9/2016,7,5.5,3,57
1/10/2016,7,5.6,3,58
1/11/2016,6.7,5.5,3,59
1/12/2016,6.7,5.7,3,60
